기사 작성일	기사 제목	기사 url	기사 내용	언론사
07 marzo 2022	La figlia oscura di Maggie Gyllenhaal trionfa agli Spirit Award	https://www.ansa.it/veneto/notizie/2022/03/07/la-figlia-oscura-di-maggie-gyllenhaal-trionfa-agli-spirit-award_709d991a-b898-43d4-83a9-ff8e9d80b438.html	(ANSA) - NEW YORK, 07 MAR - Maggie Gyllenhaal con il suo The Lost Daughter (La Figlia Oscura) adattato dal romanzo omonimo di Elena Ferrante ha trionfato ai premi del cinema indipendente.  Il dramma sui tabù e le sfide che circondano l'essere madre ha vinto il premio per il miglior film agli Spirit Awards, assieme ai riconoscimenti per la migliore sceneggiatura e la migliore regia.  I Film Independent Spirit Awards premiano film a budget massimo di 22,5 milioni di dollari. La Figlia Oscura, già premiato per la migliore sceneggiatura a Venezia 2021, ha ricevuto anche tre candidature agli Oscar tra cui quella per la migliore attrice, Olivia Colman. "Il mio film parla una lingua inconsueta: la lingua della mente delle donne", ha detto la Gyllenhaal, dedicando i premi alle "donne nel cinema".     Netflix si è rivelato vincitore della serata con sei premi, tra cui due per "Passing", il dramma su una afroamericana che si fa passare per bianca nella Harlem degli anni Venti e un altro per la serie sudcoreana "Squid Game". Il giapponese "Drive My Car" ha vinto come miglior film internazionale. Tra i film arrivati in finale c'era anche, con tre candidature tra cui quella per Best Film, "A Chiara' di Jonas Carpignano, la coproduzione italo-francese-svedese-danese che vede un'adolescente calabrese scoprire il coinvolgimento criminale del padre.     In The Lost Daughter (La figlia oscura), interpretato da Olivia Colman, Jessie Buckley, Dakota Johnson e Peter Sarsgaard, Leda (Colman), sola in una località di mare, osserva ossessivamente una giovane madre e la figlia in spiaggia. Turbata dalla complicità del loro rapporto (e dalla loro famiglia, chiassosa e sinistra), Leda è sopraffatta dai ricordi legati allo sgomento, allo smarrimento e all'intensità della propria maternità. Un gesto impulsivo catapulta Leda nello strano e minaccioso universo della sua stessa mente, in cui è costretta a fare i conti con le scelte anticonformiste fatte quando era una giovane madre e con le loro conseguenze.     E' la seconda volta consecutiva, dopo il Leone d'oro Nomadland di Chloé Zhao nel 2021, che un film in concorso alla Mostra di Venezia - ricorda la Biennale - vince gli Independent Spirit nelle categorie miglior film e miglior regista. (ANSA).    	ansa
20 ottobre 2021	Netflix, Sarandos fa mea culpa per il dopo Chappelle	https://www.ansa.it/sito/notizie/cultura/tv/2021/10/20/netflix-sarandos-fa-mea-culpa-per-il-dopo-chappelle_77b5ce09-f90a-4832-aed3-73b0771ddff2.html	Nella bufera per lo special del comico Dave Chappelle accusato di essere anti-trans e una minaccia di sciopero virtuale e picchetti al quartier generale su Sunset Boulevard, Netflix ha fatto mea culpa: il co-ceo del colosso dello streaming Ted Sarandos ha ammesso di "aver sbagliato" nei suoi sforzi di comunicare con lo staff il perché ha deciso di mantenere nel palinsesto lo show di Chappelle "The Closer" nonostante molti, dentro e fuori Netflix, avessero trovato da ridire su alcune battute offensive verso la comunità Lbgqt.  Scrivendo ai dipendenti preoccupati per le conseguenze delle battute del comico, Sarandos aveva difeso "The Closer" citandone la popolarità tra il pubblico e l'impegno di Netflix a difendere la libertà creativa degli artisti, in particolare dei comici, la cui arma della satira, se non è affilata, non morde.  L'executive aveva anche espresso dubbi sul fatto che "contenuti discutibili sullo schermo si possano tradurre in comportamenti negativi o nocivi nel mondo reale": tesi subito contraddetta dagli attivisti della Human Rights Campaign che ha citato i 44 trans assassinati nel corso del 2020, un record da quando l'organizzazione ha cominciato a tenere il conto nel 2013. Nello show Chappelle aveva affermato che "il genere è un fatto", paragonato la comunità dei trans ai bianchi che per far ridere si dipingevano la faccia di nero (era popolare a partire dalla guerra civile) e aveva aggiunto di identificarsi come un "Terf", l'acronimo di "trans-exclusionary radical feminist", un gruppo che sostiene che il genere è assegnato alla nascita e non può essere cambiato. "Da capo dell'azienda avrei dovuto cogliere la necessità di guidare con umanità. Avrei dovuto riconoscere che un gruppo dei nostri dipendenti era stato veramente male per le battute di Chappelle", ha detto adesso Sarandos al 'Wall Street Journal' aggiungendo che non prevede di rimuovere lo special dalla programmazione. "The Closer" è nella top ten degli show di Netflix sul mercato americano e all'inizio della settimana era tra i primi tre più visti. Le critiche hanno messo il gigante dello streaming sulla difensiva nei giorni dell'epico successo di "Squid Game", la serie distopica sudcoreana che ha debuttato in settembre e rapidamente è diventata un fenomeno globale. Alla luce dei numeri di "Squid Game" - 142 milioni lo hanno scaricato nelle prime quattro settimane - Netflix si prepara a cambiare i parametri delle sue classifiche, basandosi sul numero di ore e non più su quanti hanno visto i primi due minuti di film e serie nei primi 28 giorni: "E' un indicatore migliore del successo dei nostri titoli che tiene anche conto di quante volte uno show è stato visto e rivisto", ha detto l'azienda agli azionisti. Dopo un inizio dell'anno stagnante, grazie anche a show come "Squid Game", Netflix ha raddoppiato a 4,4 milioni gli abbonati nel trimestre che si è chiuso il 30 settembre e punta a chiudere il 2021 con altri 8,5 milioni di nuovi sottoscrittori.	ansa
02 novembre 2021	Cop26: protesta ambientalisti in stile Squid Game a Glasgow	https://www.ansa.it/sito/notizie/mondo/europa/2021/11/02/cop26-protesta-ambientalisti-in-stile-squid-game-a-glasgow_b18f5e30-9b0c-40e9-a893-79d033078fbf.html	(ANSA) - LONDRA, 02 NOV - Hanno scelto il tema 'Squid Game', ispirandosi alla ormai celebre serie coreana su Netflix, un gruppo di manifestanti pro clima che hanno protestato vicino alla sede della Cop26 di Glasgow, rimanendo sulla riva sud del fiume Clyde mentre quella nord è blindata e off-limits.       Una ventina di ambientalisti hanno inscenato uno dei giochi mortali che si vedono nel programma in streaming: alcuni indossavano le divise rosse con la maschera nera delle guardie presenti nella serie, mentre altri impersonavano con vestiti eleganti e maschere giganti i leader mondiali, intenti a lanciarsi un pallone raffigurante la Terra.  Un enorme striscione invitava i potenti a "smettere di giocare" col destino dell'umanità. (ANSA).	ansa
30 dicembre 2021	Squid Game, trattativa con Netflix per la terza serie	https://www.ansa.it/sito/notizie/cultura/tv/2021/12/30/squid-game-trattativa-con-netflix-per-la-terza-serie_5d5e80ee-6d14-44c7-b414-4f40a3e813fa.html	(ANSA) - NEW YORK, 30 DIC - Si parla già di un terza serie per Squid Game nonostante non sia stata ancora confermata la seconda.  Secondo Hollywood Reporter, Hwang Dong-hyuk, ideatore e regista della serie televisiva sudcoreana, in un'intervista alla tv coreana KBS ha confermato di essere in trattativa con Netflix per una terza stagione.       Al momento la piattaforma di streaming sta pensando alla seconda serie, che però non è stata ancora confermata. Parlando con The Korea Times Hwang Dong-hyuk aveva detto: "Sto discutendo con Netflix per una seconda e una terza stagione".     La serie, che ha debuttato lo scorso 17 settembre, ha registrato 111 milioni di visualizzazioni dopo soli 28 giorni dal debutto, esordio top tra le serie originali Netflix che ha battuto il record storico degli 82 milioni di Bridgerton.     (ANSA).	ansa
13 ottobre 2021	SQUID GAME SORPASSA BRIDGERTON, SU NETFLIX È IL PIÙ VISTO	https://www.ansa.it/canale_lifestyle/notizie/tempo_libero/2021/10/13/squid-game-sorpassa-bridgerton-su-netflix-e-il-piu-visto_7b27948c-aabd-4c05-824e-7f9c9c476086.html	Squid Game il sorpasso: la serie sudcoreana, vero e proprio fenomeno cult già oltre i confini asiatici, è diventato il lancio più visto di sempre su Netflix superando il precedente record di Bridgerton.  Ha attirato 111 milioni di fan dal suo debutto meno di quattro settimane fa, come confermato dal servizio di streaming.  Per il dramma distopico un successo virale globale senza precedenti: la serie immagina un mondo macabro in cui le persone emarginate sono messe l'una contro l'altra nei tradizionali giochi per bambini.     Mentre il vincitore può guadagnare milioni in contanti, i giocatori perdenti vengono sterminati.     Diffuso in tutto il mondo tramite il passaparola, in particolare tramite i social media, "Squid Game" ha scalato le classifiche di Netflix in più di 80 paesi. Anche in Italia è primo tra i più visti della piattaforma. "Squid Game ha ufficialmente raggiunto 111 milioni di fan, rendendolo il nostro più grande lancio della serie di sempre!" ha twittato Netflix.     In confronto, il dramma romantico di epoca Regency "Bridgerton" (di cui è attesa la seconda stagione) ha raggiunto 82 milioni di famiglie al debutto: questo secondo la metrica interna di Netflix che include qualsiasi account che abbia guardato un episodio per almeno due minuti.     La Squid Game mania riporta al top la cultura sudcoreana dopo il K-Pop della boy band Bts, la presa di Hollywood (e della Palma d'oro a Cannes) con i film Oscar Parasite di Bong Joon-oh e la routine beauty coreana da tempo popolarissima. (ANSA).	ansa
08 aprile 2022	LEE JUNG-JAE, SQUID GAME PER ADULTI, NON DEVONO GUARDARLA MINORI	https://www.ansa.it/canale_lifestyle/notizie/people/2022/04/08/lee-jung-jae-squid-game-per-adulti-non-devono-guardarla-minori_82dcb34d-47d4-4600-9d98-93a3909b7a1d.html	"Questa serie è dedicata solamente a un pubblico maggiorenne, non so come dei bambini abbiano potuto vederla, sono dispiaciuto che i ragazzi usino la violenza.  Penso serva un maggiore controllo e diversificazione tra i programmi che possono vedere gli adulti e quelli che possono essere visti dai minori".  Così l'attore coreano Lee Jung-jae, protagonista della serie 'Squid Game' ha commentato le critiche rivolte alla serie di Netflix considerata troppo violenta e per i casi di emulazione tra i giovani. L'attore è a Firenze, ospite speciale del Florence Korea Film Fest.     "In Squid Game - ha proseguito in un incontro al Ristorante Frescobaldi di piazza Signoria –- vediamo molti tradimenti e aggressioni, però le persone non vogliono questi comportamenti, perché pensano che ci sia ancora il bene nel mondo. Molti youtuber guardano il telefilm e pensano che non si deve fare così, c'è una morale. Il messaggio di Squid Game, quindi, è corretto, non vuole incitare alla violenza, ma andare contro la violenza".     Riguardo al Florence Korea Film Fest, l'attore ha detto che "ci sono diversi festival in tutta Europa che trattano di cinema coreano, ma quello di Firenze è particolarmente famoso perché ha una storia, volevo partecipare a questo festival e spero di tornare in futuro. Sono stato a Firenze più volte per motivi personali, ma è la prima volta per un festival di cinema. Del capoluogo toscano ho già apprezzato l'arte e l'architettura e mi piace molto anche la moda".     Parlando poi del suo futuro ha auspicato di "poter lavorare in Italia con un buon regista. Viaggio molto - ha aggiunto - e girando in Italia ho pensato che sarebbe interessante girare scene qui, ma come in Europa, in Inghilterra. Hollywood è la Mecca del cinema, non lo nego, ma mi piacerebbe fare qualcosa di particolare, creare progetti interessanti in giro per il mondo".     L'attore oggi è stato anche premiato dal presidente del Consiglio regionale toscano Antonio Mazzeo, che gli ha consegnato il Pegaso, simbolo del Consiglio regionale, e la bandiera della Regione. 	ansa
30 novembre 2021	IN ORIGINALE, SETTE SERIE TV CHE CI AIUTANO AD APPRENDERE LINGUE STRANIERE	https://www.ansa.it/canale_lifestyle/notizie/tempo_libero/2021/11/15/in-originale-sette-serie-tv-che-ci-aiutano-ad-apprendere-lingue-straniere_95dd8a6a-da10-4932-88bd-cefe83fcd227.html	In lingua originale con uno sguardo attento ai sottotitoli guardiamo in coreano Squid Game e in spagnolo La casa di carta.  Da lì a capire e parlare quelle lingue ce ne corre, ma lo stimolo c'è e non è un cambiamento culturale da poco rispetto ai tanti anni in cui vedere film in lingua originale al cinema (in tv neanche a parlarne) era da snob, un vezzo di pochi.   E' una rivoluzione non da poco quella che le piattaforme streaming da qualche anno stanno portando avanti visto che favoriscono la visione di contenuti in versione originale. E come la musica anglosassone per generazioni precedenti anche guardare le serie TV magari fare binge-watching, ossia la tendenza a guardare serie senza sosta, si può essere un modo per apprendere le lingue, fruire contenuti audiovisivi in lingua originale, infatti, non solo aiuta moltissimo a sviluppare l’orecchio per una lingua ma può anche alimentare l’interesse verso una nuova cultura e rappresentare uno stimolo all’apprendimento. Per ispirarvi nella scelta della prossima serie e, chissà, della prossima lingua da imparare ecco una selezione di italki, piattaforma online per l’apprendimento delle lingue, con il supporto della sua community di insegnanti madrelingua, le sette migliori per chi vuole iniziare a compiere i primi passi verso un nuovo idioma comodamente dal divano. 1. Coreano – Squid Game. Il nostro viaggio parte da una delle serie del momento. Il nuovo survival drama proveniente dalla Corea del Sud che ha battuto ogni record: Squid Game. La trama di questo nuovo fenomeno globale vede centinaia di individui alle prese con difficoltà economiche sfidarsi in giochi all’apparenza per bambini. Il montepremi è allettante, così come il desiderio di raggiungere un riscatto sociale. Perché in lingua originale? Al momento la serie non è ancora stata doppiata in italiano, dunque il modo migliore per fruirla è proprio affidarsi alla versione originale con i sottotitoli. “Spesso molti dei miei studenti hanno imparato autonomamente l’Hangul (alfabeto coreano), già prima di prendere parte alla prima lezione. Ecco perché capiscono la sua struttura e come funziona abbastanza bene” commenta Karen, insegnante di lingua coreana. Le fa eco la collega Gio: “Sull’onda del successo di Squid Game, molte persone hanno iniziato persino a produrre merchandising a tema, diffuso su tutti i social. La popolarità della cultura coreana è sicuramente aumentata grazie a questa serie". Ulteriore conferma di questo trend arriva dal numero di studenti italiani che hanno iniziato a studiare il coreano, in crescita su italki del 30% rispetto al 2020. 2. Finlandese - Bordertown. I nordici hanno un gusto particolare per il genere crime e questa serie ne è ulteriore conferma. La vita dell’ispettore Sorjonen trasferitosi in una terra di confine (la Russia è poco distante), si scontra con lati oscuri e crimini che la neve e il silenzio finlandese coprono solo in parte. “Tre stagioni per iniziare a prendere dimestichezza con la lingua finlandese, con la trama che contribuirà a tenervi attaccati allo schermo” assicura Juho, insegnante di finlandese. 3. Tedesco – Dark. Ambientata nella Germania contemporanea, la storia narrata in Dark ha inizio con la scomparsa di due ragazzi nel villaggio di Widen. Le indagini che seguono riportano a galla i segreti di questo borgo, misteri intimamente intrecciati con le storie di alcune famiglie. Perché guardarla in tedesco? Gli insegnanti la segnalano perché caratterizzata da conversazioni quotidiane perfette per imparare il vocabolario essenziale, inoltre gli intrecci della trama assicurano sempre il giusto livello di attenzione. 4. Spagnolo – La Casa di carta. È una delle serie del momento con la quinta e ultima stagione arrivata in Italia a settembre. Ambientata nella Madrid dei giorni nostri, la storia parla del furto del secolo alla zecca spagnola e delle incredibili vicende di una banda di rapinatori mascherati. Se volete gustarvi in lingua originale il gran finale in programma a dicembre, potrebbe essere giunto il momento per dare una rispolverata al vostro spagnolo. “È un’ottima occasione per imparare lo spagnolo comune tra i giovani e arricchire il vocabolario di espressioni molto diffuse” precisa Paula, professoressa di Spagnolo. 5. Francese - Emily in Paris. Emily, una ventenne americana, si trasferisce a Parigi per un'inaspettata opportunità di lavoro. Esportare la visione della sua azienda alla filiale francese però non sarà cosa semplice. Le culture si scontrano mentre lei si adatta alle sfide della vita in una città straniera e in una lingua che non conosce affatto. È l'esempio perfetto per mostrarci quanto sia importante studiare altre lingue per continuare la nostra formazione professionale. 6. Inglese - The Crown. Quale serie migliore per imparare la lingua più studiata al mondo se non la pluripremiata The Crown. La trama segue la vita della regina Elisabetta II, dal suo matrimonio nel 1947 ad oggi, ed è perfetta per immergersi in un’atmosfera “very british”. La quarta stagione è uscita l’anno scorso su Netflix e visto il successo, ne sono in programma altre due. “Credo che The Crown rappresenti un ottimo banco di prova per il vostro inglese. Non riflette il modo in cui la maggior parte delle persone parla nel Regno Unito, ma l'accento che viene usato è così marcato che potrebbe essere una piccola sfida divertente per gli studenti vedere quanto riescono a cogliere”, ci ha spiegato Laura Insegnante di inglese. 7. Russo - Meglio di noi. Per l’ultima lingua ci spostiamo addirittura nella Mosca del futuro. Siamo nel 2029 e i robot sono diventati parte integrante della vita di tutte le famiglie. Non tutti però ne sono contenti e nel paese si sta scatenando il caos. Per chi ama la fantascienza, una vera chicca da non perdere. Con accento umano o robotico, il vostro vocabolario russo si arricchirà notevolmente.	ansa
25 febbraio 2022	Pachinko drama in tre lingue il 25/3 su Apple TV+	https://www.ansa.it/sito/notizie/cultura/tv/2022/02/25/pachinko-drama-in-tre-lingue-il-25/3-su-apple-tv_8aabfca7-e5ff-438c-a697-55998fb3f44d.html	(ANSA) - ROMA, 25 FEB - Tutto inizia con un amore proibito dal tono intimo per diventare una saga di portata epica che viaggia tra Corea, Giappone e America, raccontando una storia indimenticabile di guerra e pace, amore e perdita, trionfo e resa dei conti.  "Pachinko - La moglie Coreana" e' l'attesa serie drammatica, con un cast internazionale, che sarà presentata in anteprima mondiale il 25 marzo su Apple TV+, di cui sono state svelate le prime immagini e il trailer.  La serie, composta da otto episodi e raccontata in tre lingue, coreano, giapponese e inglese, debutterà con i primi tre episodi, seguiti da un nuovo episodio settimanale, ogni venerdi' fino al 29 aprile. Basata sull'omonimo bestseller del New York Times, "Pachinko" e' scritta e prodotta da Soo Hugh ("The Terror", "The Killing"), che ha ideato la serie di cui e' anche showrunner. Kogonada e Justin Chon sono produttori esecutivi e hanno diretto quattro episodi ciascuno, con Kogonada alla regia del pilot. "Dicono che ci sono quei progetti che arrivano e ti cambiano radicalmente, sia come regista, che come persona.     Indubbiamente, 'Pachinko' e' quel progetto per me", ha detto Soo Hugh. "Non solo questa e' la storia di miei antenati, e' il mio tributo a loro, a tutti i Sunja sepolti nel profondo della storia della nostra famiglia. È stato un onore incredibile dare vita a questa serie con un cast e una troupe di persone dotate e appassionate". A partire dalla Corea del Sud all'inizio del 1900, la saga viene raccontata attraverso gli occhi della straordinaria matriarca Sunja ( Yuh-Jung Youn) che trionfa contro ogni previsione, e contrappone la sua storia a quella di suo nipote, Solomon, ambientata negli anni '80. Nel caste Minho in quello di Hansu, Jin Ha in quello di Salomone e Minha Kim in quello dell'adolescente Sunja. Anna Sawai veste i panni di Naomi, Eunchae Jung quelli del giovane Kyunghee; Inji Jeong è Yangjin, Jimmi Simpson è Tom Andrews, Junwoo Han è Yoseb.     Troviamo anche Kaho Minami nel ruolo di Etsuko, Steve Sanghyun Noh nel ruolo di Isak, Soji Arai in quello di Mozasu e Yu-na Jeon in quello della giovane Sunja (ANSA).	ansa
21 ottobre 2021	Una petizione per fermare la serie Squid Game	https://www.ansa.it/sito/notizie/cultura/2021/10/21/una-petizione-per-fermare-la-serie-squid-game_40d25ede-bf29-4572-a9f9-d65a2fcfe38c.html	"Fermiamo lo Squid game": lo chiede una petizione online lanciata su Change.org e diretta alla Commissione parlamentare per l'infanzia e l'adolescenza dalla Fondazione Carolina, Onlus dedicata a Carolina Picchio, la prima vittima acclarata di cyberbullismo in Italia.  Carolina si tolse la vita nel 2013 per l'umiliazione di vedersi in un video mentre, priva di coscienza, dei suoi coetanei giocavano con il suo corpo mimando atti sessuali.  "Di fronte allo sgomento di mamme e maestre delle scuole materne non bastano i buoni propositi, ma serve un'azione concreta" dicono dalla Onlus, spiegando che il loro non è "un atto censorio, ma risponde alla necessità di far fronte alla sconfitta dei parental control e alla crisi della genitorialità.  Una débâcle messa nudo dai social e, soprattutto, dalle decine di segnalazioni che gli esperti per la sicurezza digitale delle nuove generazioni hanno raccolto da tutta Italia".   "Mio figlio ha picchiato la sua amichetta mentre giocava a Squid Game"; "A mia figlia hanno rovesciato lo zaino fuori dalla finestra dell'aula perché ha perso a Squid Game, non vuole più uscire di casa"; "I miei figli non sono stati invitati alla festa del loro compagno, perché non vogliono giocare a Squid Game" sono solo alcune delle testimonianze arrivate alla Fondazione, ma basta avere figli in età scolastica per sapere quanto la serie coreana proposta da Netflix dilaghi nelle scuole di ogni ordine e grado, con i bambini - persino quelli della primaria - che emulano quanto visto online. Al centro della serie, un gioco mortale cui partecipano centinaia di persone con problemi finanziari, che accettano uno strano invito a una competizione fatta di giochi per bambini come '1,2,3 stella', ma dove chi perde muore.  E' vero che Netflix suggerisce la visione della serie a utenti sopra i 14 anni di età, eppure Squid Game è diventata virale, anche tra i bambini. "Da oggi è possibile firmare la petizione per bloccare questo contenuto, micidiale per gli utenti più piccoli e i giovani più fragili", denuncia Ivano Zoppi. "A questo punto, l'unica soluzione possibile - sottolinea il referente della fondazione - sembra la censura vecchio stampo. Qualcuno storcerà il naso, ma oramai sembra l'unico strumento possibile a difesa del principio di incolumità dei minori". (ANSA).	ansa
23 gennaio 2022	POP ALLA COREANA, COSÌ IL FENOMENO K-POP CONQUISTA I GIOVANI (ANCHE) IN ITALIA	https://www.ansa.it/canale_lifestyle/notizie/teen/2022/01/23/pop-alla-coreana-cosi-il-fenomeno-k-pop-conquista-i-giovani-anche-in-italia_309d1811-a5cf-490f-b924-0bffe48f1423.html	Basti pensare che i BTS, il gruppo più famoso, acronimo di Bangtan Boys (RM, Jin, Suga, J-Hope, Park Ji-min, V e Jeon Jung-kook), secondo Forbes, hanno guadagnato 16,5 milioni di dollari dal loro canale YouTube nel 2021, vendendo più album di Taylor Swift, Billie Eilish e Ariana Grande. Inoltre, grazie al debutto sul mercato azionario sudcoreano della loro etichetta discografica, la Big Hit Entertainment, oggi Hybe, nell’ottobre 2020, ogni membro della band, secondo quanto riportato dalla CNN, ha ricevuto 68.385 azioni, del valore di 7,9 milioni di dollari ciascuna al prezzo di emissione. “I numeri legati al K-pop crescono di anno in anno perché è un genere musicale profondamente coinvolgente, che mette in connessione gli Idol (così vengono chiamati i cantanti e le band musicali coreane ndr) ed i fan - spiega KBlue, pseudonimo di Fabio Demofonti, il primo esponente italiano di musica pop sud coreana con all'attivo collaborazioni con rapper come lo statunitense Snoop Dogg e il filippino Bassilyo - avvicinarsi al K-pop significa intraprendere un’esperienza unica, ricca di emozioni e stimoli. Oggi la sua carica travolgente ha invaso anche l’Italia e sono tantissimi i giovani e giovanissimi che seguono questo genere musicale. Qui a Seoul, dove vivo e dove sto realizzando il mio intenso periodo di trainee, la Korean wave si respira nell’aria. Il K-pop è ovunque, sulla maggior parte dei cartelli pubblicitari, sui maxi schermi dei negozi e come sottofondo nella maggior parte delle stazioni radiofoniche”.  La Korean popular music, sembra spingere sempre più in là i confini del suo successo e l’impatto colossale si comprende dal numero di fan in ogni parte del mondo. Parliamo di 89 milioni di appassionati sparsi in 113 diversi paesi, 16 milioni gli ascoltatori mensili su Spotify e un numero incalcolabile di concerti e i festival organizzati in vari continenti. Oltre agli innumerevoli premi già vinti dagli Idol, numerosi all’AMA, la Billaboard, la nota rivista statunitense dedicata alla musica, ha certificato che Dynamite, è la canzone del 2021 più ascoltata su Apple Music al mondo. Per non parlare del successo planetario dei BTS, durante l’ultimo capodanno. Il loro show è stato seguito da oltre 30 milioni di fan in streaming, da 186 paesi diversi. E IU, la solista K-pop, è stata inserita da Forbes tra le 40 personalità più influenti e potenti della Corea. “Per capire l’impatto del K-pop basta guardare i profili social degli Idol - spiega KBlue - Lisa delle BLACKPINK, una tra le icone assolute di questo genere musicale, dopo aver debuttato da solista con ‘Lalisa’ nel 2021, è diventata la top influencer per eccellenza, superando addirittura i 70 milioni di follower su Instagram. E anche su Twitter, il K-pop non è da meno, infrangendo tutti i record possibili con numeri esorbitanti. I cinguettii legati a hashtag #K-pop sono oltre 6 miliardi, e provengono da ben 20 Paesi diversi”. Un mondo ad altissima competitività come sembra testimoniare il record di suicidi tra le giovanissime star. Il K-pop, che ha iniziato la sua ascesa su scala mondiale nella prima decade degli anni 2000 con gruppi come 2NE1, BIGBANG, Super Junior, Wonder Girls, Girls Generations, ha poi, dopo Psy (Vi ricordate Gangnam Style? E' stato davvero apripripista con un video da record, il primo della storia a raggiungere il miliardo di visualizzazioni su YouTube, era il 2012) ha avuto una vera esplosione globale, grazie ai BTS e alle BLACKPINK. I gruppi che negli anni si affacciano alla scena musicale K-pop sono molteplici, dagli Exo, alle Twice, dalle ITZY alle Aespa, dagli Stray Kidz agli Ateez, molti dei quali, come Got7, IZ*ONE si sono sciolti, per poi diventare a volte solisti affermatissimi come Sunmi e Somi. Eric Nam sarà in concerto in Italia ad aprile 2022 “Attraverso la mia musica cerco di diffondere al pubblico che mi ascolta un messaggio di positività ed energia - afferma KBlue - perché il K-pop è proprio questo, una carica esplosiva di allegria e vitalità. E vorrei che presto canzoni K-Pop possano essere ascoltate anche nei talent e nei programmi musicali italiani, come il Festival di Sanremo".	ansa
